state,x,y
Himachal Pradesh,-109,228
Uttarakhand,-77,189
Punjab,-159,194
Haryana,-134,155
Rajasthan,-223,100
Gujarat,-232,16
Maharashtra,-177,-55
Goa,-189,-144
Karnataka,-165,-170
Kerala,-143,-240
Tamil Nadu,-82,-235
Andhra Pradesh,-67,-149
Telangana,-72,-84
Chhattisgarh,-22,-12
Odisha,13,-30
Uttar Pradesh,-45,117
Bihar,58,84
Jharkhand,54,48
West Bengal,107,40
Sikkim,111,135
Madhya Pradesh,-104,37
Arunachal Pradesh,207,150
Assam,164,108
Nagaland,232,104
Meghalaya,151,91
Manipur,218,75
Tripura,175,53
Mizoram,205,38
